,id,text,created_at,final fantasy,retweet_count,reply_count,like_count,quote_count,polarity
16428,1601075233191915522,Personal highlights   Hades   Jedi Survivor  Earthblade  Death Stranding   Cyberpunk DLC  Armored Core   Final Fantasy XVI,2022-12-09T04:44:16.000Z,1.0,0,0,1,0,0.0
16701,1601074210952327171,Fortnite didn t win the best ongoing game either  they lost to Final Fantasy XIV ,2022-12-09T04:40:13.000Z,1.0,0,0,0,0,0.35
16926,1601073499119894528,Game I m hype and looking for to playing   Final Fantasy XVI   Hades II3  Blue Protocol   Replaced   Dead Cells x Castlevania,2022-12-09T04:37:23.000Z,1.0,0,0,1,0,-0.15000000000000002
16931,1601073489896935426,highlights   Remnant LFG      2  Final Fantasy XVI looks incredible3  Cal Kestis looking good4  Judas  Ken Levine is back5  Kevin Conroy as Batman   Christopher Judge is awesome7  Vampire Survivors on my phone   ,2022-12-09T04:37:21.000Z,1.0,0,1,3,0,0.0
17049,1601073186736439301,final fantasy was a good series to win Best community support lowkey especially considering the games recent tractions over the yearsas much as i do not like Fortnite it was a strong contender  with so many of the games collabs to bring ppl back playing it,2022-12-09T04:36:08.000Z,1.0,0,0,0,0,0.36333333333333334
17216,1601072745663844352,Me listening to Close in the Distance knowing Final Fantasy XIV won best ongoing game of the year,2022-12-09T04:34:23.000Z,1.0,0,0,0,0,0.19999999999999998
17264,1601072640780746752,Yall think Fortnite should of won the best outgoing game or Final fantasy,2022-12-09T04:33:58.000Z,1.0,0,0,2,0,0.19999999999999998
17288,1601072581662031872,This year s was overall rough  However least we got solid trailers like a Dead Cells  amp  Castlevania collab  Hellboy  Post Trauma  Hades   Star Wars Jedi Survivor  Earthblade  Genshin teaser  Tekken   Final Fantasy XVI  and Armored Core VI was a nice surprise,2022-12-09T04:33:44.000Z,1.0,0,0,0,0,-1.586032892321652e-17
17440,1601072172067442688,Final Fantasy XVI Launches June Details ,2022-12-09T04:32:06.000Z,1.0,1,0,2,0,0.0
17573,1601071883931496450,im ngl i was a little surprised of final fantasy winning best ongoing game  lowkey thought it was gonna be genshinFortnite had no chance tho,2022-12-09T04:30:58.000Z,1.0,0,1,0,0,0.16875000000000004
17731,1601071581999923200,Juegos de ojo    Armored Core Fires of Rubicon Total Warhammer Spacemarine Final Fantasy XVI Banishers Ghost of new Eden Diablo  Resident Evil  Dead Space Remake Inmortals of Aveum Star Wars Jedi Survivor Hades,2022-12-09T04:29:46.000Z,1.0,0,0,0,0,-0.21272727272727274
17755,1601071544360669186,If I m being honest final fantasy has been around for awhile now even tho I never been into it or probably never will be,2022-12-09T04:29:37.000Z,1.0,0,0,1,0,0.3
